Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Farsley Library,53.81007324,-1.673209544,Old Road,Farsley,,Leeds,West Yorkshire,LS28 5DH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Fearnville Leisure Centre,53.81491271,-1.48708427,Oakwood Lane,,,Leeds,West Yorkshire,LS8 3LF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Firthfields Early Years Centre,53.79320037,-1.370586872,Conisborough Lane,Garforth,,Leeds,West Yorkshire,LS25 2LR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Garforth Leisure Centre,53.79175481,-1.376084665,Ninelands Lane,Garforth,,Leeds,West Yorkshire,LS25 1NX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Gildersome Library,53.7582108,-1.629091139,Town Street,Gildersome,Morley,Leeds,West Yorkshire,LS27 7AB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Gildersome Child Centre,53.75832,-1.62969,"c/o Gildersome Primary School, Town Street",Gildersome,,Leeds,West Yorkshire,LS27 7AB,GB,,,,,,
Gipton North Children's Centre,53.81430594,-1.497979883,Thorn Walk,Gipton,,Leeds,West Yorkshire,LS8 3LP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Guiseley Library,53.87313789,-1.710293996,Otley Road,Guiseley,,Leeds,West Yorkshire,LS20 8AH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Halliday Court,53.79466,-1.38971,Halliday Court,Garforth,,Leeds,West Yorkshire,LS25 1ET,GB,,,,,,
Hunslet Over 3's,53.77758,-1.52861,"Co Hunslet St Marys Primary School,Church Street",Hunslet,,Leeds,West Yorkshire,LS10 2QY,GB,,,,,,
Halton Library,53.79665052,-1.468851432,273 Selby Road,,,Leeds,West Yorkshire,LS15 7JR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Harehills Children's Centre,53.80909233,-1.510300877,Cowper Terrace,,,Leeds,West Yorkshire,LS9 7BA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hawksworth Wood Children's Centre,53.83154336,-1.616735023,Broadway,,,Leeds,West Yorkshire,LS5 3PS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Headingley Library,53.82099619,-1.578372771,North Lane,Headingley,,Leeds,West Yorkshire,LS6 3HG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Herd Farm Activity Centre,53.87417314,-1.529404612,Eccup Reservoir,Harrogate Road,,Leeds,West Yorkshire,LS17 7RJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Holt Park Active,53.85548953,-1.608168595,Holtdale approach,Holt Park,,Leeds,West Yorkshire,LS16 7RX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Holt Park Library,53.85510535,-1.609787792,Ralph Thoresby High School,Holtdale Approach,Holt Park,Leeds,West Yorkshire,LS16 7RX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Horsforth Clinic,53.84020316,-1.638387817,Church Lane,Horsforth,,Leeds,West Yorkshire,LS18 5LA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Horsforth Library,53.83995469,-1.637760989,Town Street,Horsforth,,Leeds,West Yorkshire,LS18 5BL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hough Lane Centre,53.81028411,-1.631345773,Hough Lane,,,Leeds,West Yorkshire,LS13 3RD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hunslet Children's Centre,53.77751243,-1.529487172,St Marys School,Hunslet,,Leeds,West Yorkshire,LS10 2QY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hunslet Library,53.78000771,-1.527595977,Waterloo street,Hunslet,,Leeds,West Yorkshire,LS10 2NS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Park Visitor Centre,53.75429084,-1.545143102,Town Street,,,Leeds,West Yorkshire,LS10 3SH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
John Smeaton Leisure Centre,53.81324739,-1.432558915,Smeaton Approach,,,Leeds,West Yorkshire,LS15 8TA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Kentmere Children's Centre,53.82773339,-1.470044551,180 Kentmere Avenue,,,Leeds,West Yorkshire,LS14 1BN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Kippax Health Centre,53.77305912,-1.369720695,Moorgate Drive,Kippax,,Leeds,West Yorkshire,LS25 7QT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Kippax Leisure Centre,53.76385942,-1.379608002,Station Road,Kippax,,Leeds,West Yorkshire,LS25 7LQ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Kippax Library,53.76751519,-1.371183825,Westfield Lane,Kippax,,Leeds,West Yorkshire,LS25 7LY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Kirkstall Leisure Centre,53.81650528,-1.601564169,Kirkstall Lane,Kirkstall,,Leeds,West Yorkshire,LS5 3BE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Knowle Manor,53.74588,-1.5945,"Tennyson Terrace,",Morley,,Leeds,West Yorkshire,LS27 8QP,GB,,,,,,
Kirkstall Recycling Centre,53.80589969,-1.584711313,Evanston Avenue,Kirkstall,,Leeds,West Yorkshire,LS4 2HR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Landmark Court,53.77883558,-1.564916481,Landmark Court,,,Leeds,West Yorkshire,LS11 8JT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lavender Walk,53.79548437,-1.52127633,Lavender Walk,,,Leeds,West Yorkshire,LS9 8JB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lincoln Fields Day Centre,53.80172376,-1.527609091,Cromwell Street,,,Leeds,West Yorkshire,LS9 7SG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Luttrell Cresent Childrens Home,53.84441,-1.60232,"23, Luttrell Crescent",Ireland Wood,,Leeds,West Yorkshire,LS16 6LU,GB,,,,,,
Lineham Farm Children's Centre,53.88211348,-1.57399869,Swan Lane,,,Leeds,West Yorkshire,LS16 8AZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Little London Housing Office,53.80853674,-1.540692925,Oatland Lane,,,Leeds,West Yorkshire,LS7 1SP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lotherton Hall,53.81897753,-1.319399953,Lotherton Lane,Aberford,,Leeds,West Yorkshire,LS25 3EB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds Magistrates,53.79986101,-1.552267194,Westgate,,,Leeds,West Yorkshire,LS1 2NY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds Kirkgate Market,53.79737214,-1.538758291,34 George Street,,,Leeds,West Yorkshire,LS2 7HY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Mansion House,53.8397,-1.49994,Mansion Lane,Roundhay,,Leeds,West Yorkshire,LS8 2HH,GB,,,,,,
Marsden Court,53.81297,-1.67207,"Water Ln, Farsley",Pudsey,,Leeds,West Yorkshire,LS28 5SH,GB,,,,,,
Mears,53.79108269,-1.595219358,Unit 1 Barras Industrial Site,12 Barras Garth Road,,Leeds,West Yorkshire,LS12 4JY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Highways,53.74835297,-1.536705828,Selectapost 6,Ringroad,,Leeds,West Yorkshire,LS10 4AX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
St Georges One stop Centre,53.7478,-1.5326,St Georges Road,Middleton,,Leeds,West Yorkshire,LS10 4UZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Play and Learning Centre,53.74200784,-1.548848835,Throstle Lane,,,Leeds,West Yorkshire,LS10 4JD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Leisure Centre,53.74706585,-1.537544019,Ring Road,Middleton,,Leeds,West Yorkshire,LS10 4AX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Moor Allerton Library,53.84557354,-1.549224027,Moor Allerton Centre,King Lane,,Leeds,West Yorkshire,LS17 5NY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Morley Health Centre,53.74465771,-1.606116325,2 Corporation street,Morley,,Leeds,West Yorkshire,LS27 9NB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
